Posicao,Nome,Lançamento,Desenvolvedora/Publisher,Plataformas,Nota Média,Tempo de Jogo,Qtd Reviews,Qtd Likes,Tags,Descricao
1,Grand Theft Auto V,2013,"Rockstar North, Rockstar Games","Windows PC, PlayStation 5, Xbox Series X|S, PlayStation 4, Xbox One, PlayStation 3, Xbox 360",4.0,average: 216h | to finish: 47h | to master: 188h,13K,18K,"Adventure, Racing, Shooter","Grand Theft Auto V is a vast open world game set in Los Santos, a sprawling sun-soaked metropolis struggling to stay afloat in an era of economic uncertainty and cheap reality TV. The game blends storytelling and gameplay in new ways as players repeatedly jump in and out of the lives of the game’s three lead characters, playing all sides of the game’s interwoven story."
2,Red Dead Redemption 2,2018,"Rockstar Games, Take-Two Interactive","Windows PC, PlayStation 4, Xbox One, Google Stadia",4.6,average: 122h | to finish: 74h | to master: 270h,22K,35K,"Adventure, RPG, Shooter","Red Dead Redemption 2 is the epic tale of outlaw Arthur Morgan and the infamous Van der Linde gang, on the run across America at the dawn of the modern age."
3,Elden Ring,2022,"FromSoftware, Bandai Namco Entertainment","Windows PC, Nintendo Switch 2, PlayStation 5, Xbox Series X|S, PlayStation 4, Xbox One",4.5,average: 147h | to finish: 96h | to master: 119h,22K,30K,"Adventure, RPG","Elden Ring is an action RPG developed by FromSoftware and published by Bandai Namco Entertainment, released in February 2022. Directed by Hidetaka Miyazaki, with world-building contributions from novelist George R. R. Martin, the game features an expansive open world called the Lands Between. Players assume the role of a customisable character known as the Tarnished, who must explore this world, battle formidable enemies, and seek to restore the Elden Ring to become the Elden Lord. The game builds on the challenging gameplay mechanics familiar from the Dark Souls series but introduces a more open-ended structure with vast exploration, dynamic weather, and a day-night cycle. It offers deep lore, complex characters, and an interconnected world filled with secrets, dungeons, and powerful bosses."
4,Minecraft: Java Edition,2011,Mojang Studios,"Windows PC, Mac, Linux",4.4,average: 1401h | to finish: 48h | to master: 847h,14K,18K,"Adventure, Simulator","Minecraft focuses on allowing the player to explore, interact with, and modify a dynamically generated map made of one-cubic-meter-sized blocks. In addition to blocks, the environment features plants, mobs, and items. Some activities in the game include mining for ore, fighting hostile mobs, and crafting new blocks and tools by gathering various resources found in the game. The game's open-ended model allows players to create structures, creations, and artwork on various multiplayer servers or their single-player maps. Other features include redstone circuits for logic computations and remote actions, minecarts and tracks, and a mysterious underworld called the Nether. A designated but completely optional goal of the game is to travel to a dimension called the End, and defeat the ender dragon."
5,The Legend of Zelda: Breath of the Wild,2017,"Nintendo EPD Production Group No. 3, Nintendo","Nintendo Switch, Wii U",4.5,average: 122h | to finish: 75h | to master: 180h,15K,22K,"Adventure, Puzzle","The Legend of Zelda: Breath of the Wild is the first 3D open-world game in the Zelda series. Link can travel anywhere and be equipped with weapons and armor found throughout the world to grant him various bonuses. Unlike many games in the series, Breath of the Wild does not impose a specific order in which quests or dungeons must be completed. While the game still has environmental obstacles such as weather effects, inhospitable lands, or powerful enemies, many of them can be overcome using the right method. A lot of critics ranked Breath of the Wild as one of the best video games of all time."
6,Hollow Knight,2017,Team Cherry,"Windows PC, Mac, Linux, Nintendo Switch 2, PlayStation 5, Xbox Series X|S, Nintendo Switch, PlayStation 4, Wii U, Xbox One",4.4,average: 59h | to finish: 33h | to master: 75h,20K,27K,"Adventure, Indie, Platform","A 2D metroidvania with an emphasis on close combat and exploration in which the player enters the once-prosperous now-bleak insect kingdom of Hallownest, travels through its various districts, meets friendly inhabitants, fights hostile ones and uncovers the kingdom's history while improving their combat abilities and movement arsenal by fighting bosses and accessing out-of-the-way areas."
7,God of War,2018,"SIE Santa Monica Studio, Sony Interactive Entertainment","Windows PC, PlayStation 5, PlayStation 4",4.3,average: 37h | to finish: 27h | to master: 50h,13K,18K,"Adventure, Brawler, RPG","God of War is the sequel to God of War III as well as a continuation of the canon God of War chronology. Unlike previous installments, this game focuses on Norse mythology and follows an older and more seasoned Kratos and his son Atreus in the years since the third game. It is in this harsh, unforgiving world that he must fight to survive… and teach his son to do the same."
8,Portal 2,2011,"Valve, Electronic Arts","Windows PC, Mac, Linux, Nintendo Switch, PlayStation 3, Xbox 360",4.5,average: 16h | to finish: 8h | to master: 20h,11K,18K,"Adventure, Platform, Puzzle","Sequel to the acclaimed Portal (2007), Portal 2 pits the protagonist of the original game, Chell, and her new robot friend, Wheatley, against more puzzles conceived by GLaDOS, an A.I. with the sole purpose of testing the Portal Gun's mechanics and taking revenge on Chell for the events of Portal. As a result of several interactions and revelations, Chell once again pushes to escape Aperture Science Labs."
9,Portal,2007,"Valve, Electronic Arts","Windows PC, Mac, Linux, Nintendo Switch, PlayStation 3, Xbox 360, Android",4.1,average: 5h | to finish: 3h | to master: 12h,10K,14K,"Adventure, Platform, Puzzle","Waking up in a seemingly empty laboratory, the player is made to complete various physics-based puzzle challenges through numerous test chambers in order to test out the new Aperture Science Handheld Portal Device, without an explanation as to how, why or by whom."
10,Cyberpunk 2077,2020,"CD Projekt RED, CD Projekt","Windows PC, Mac, Nintendo Switch 2, PlayStation 5, Xbox Series X|S, PlayStation 4, Xbox One, Google Stadia",4.2,average: 89h | to finish: 60h | to master: 111h,16K,23K,"Adventure, RPG, Shooter","Cyberpunk 2077 is an open-world action-adventure game set in Night City, a sprawling metropolis driven by power, glamour, and body modification. Players assume the role of V, a mercenary outlaw in pursuit of a unique implant that holds the key to immortality. The game allows extensive customization of cyberware, skills, and playstyle. Choices made throughout the journey influence both the narrative and the world."
